https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,tradecount
1602504000000,2020-10-12 12:00:00,ETH/USDT,366.42,369.32,366.03,368.95,53572.437,19706992.88737,21809
1602500400000,2020-10-12 11:00:00,ETH/USDT,367.57,368.00,365.54,366.42,77848.618,28572458.83315,28455
1602496800000,2020-10-12 10:00:00,ETH/USDT,373.21,373.43,365.50,367.57,200113.217,73715909.77749,49232
1602493200000,2020-10-12 09:00:00,ETH/USDT,373.79,374.38,371.50,373.21,52943.212,19744365.41511,20047
1602489600000,2020-10-12 08:00:00,ETH/USDT,374.28,375.58,373.64,373.79,43049.209,16120988.48371,21304
1602486000000,2020-10-12 07:00:00,ETH/USDT,372.14,374.84,370.40,374.27,86541.436,32263293.18234,27093
1602482400000,2020-10-12 06:00:00,ETH/USDT,374.83,375.06,371.79,372.12,52272.274,19509296.74077,18668
1602478800000,2020-10-12 05:00:00,ETH/USDT,374.15,375.48,373.45,374.82,30346.758,11368643.88509,15313
1602475200000,2020-10-12 04:00:00,ETH/USDT,374.17,374.31,373.38,374.15,16625.593,6215906.39249,14579
1602471600000,2020-10-12 03:00:00,ETH/USDT,374.72,375.80,374.00,374.17,30570.842,11458757.94100,16682
1602468000000,2020-10-12 02:00:00,ETH/USDT,374.69,374.98,373.25,374.69,21597.490,8079080.76439,14169
1602464400000,2020-10-12 01:00:00,ETH/USDT,374.07,375.00,373.24,374.69,26723.889,10006204.42385,15583
1602460800000,2020-10-12 00:00:00,ETH/USDT,374.39,374.61,372.74,374.06,27555.852,10295304.34122,16415
1602457200000,2020-10-11 23:00:00,ETH/USDT,373.55,375.14,373.09,374.39,35138.599,13149641.17319,17069
1602453600000,2020-10-11 22:00:00,ETH/USDT,373.28,373.74,371.44,373.54,34707.829,12932567.59741,19961
1602450000000,2020-10-11 21:00:00,ETH/USDT,373.13,374.00,372.01,373.28,38650.782,14414395.23408,22652
1602446400000,2020-10-11 20:00:00,ETH/USDT,373.20,374.54,373.02,373.14,21199.387,7926539.33122,16535
1602442800000,2020-10-11 19:00:00,ETH/USDT,375.25,376.00,372.59,373.20,60556.613,22657737.57620,22902
1602439200000,2020-10-11 18:00:00,ETH/USDT,375.48,376.00,373.99,375.24,24704.866,9267702.97833,16085
1602435600000,2020-10-11 17:00:00,ETH/USDT,374.85,376.00,374.77,375.49,24323.494,9132332.49182,13780
1602432000000,2020-10-11 16:00:00,ETH/USDT,375.29,376.50,373.82,374.84,55802.874,20954887.92116,22999
1602428400000,2020-10-11 15:00:00,ETH/USDT,373.26,375.90,373.26,375.27,61760.840,23155304.27128,23524
1602424800000,2020-10-11 14:00:00,ETH/USDT,372.83,376.50,372.00,373.26,83161.079,31084992.74110,29302
1602421200000,2020-10-11 13:00:00,ETH/USDT,372.41,373.44,371.51,372.83,26621.802,9921377.61769,21503
1602417600000,2020-10-11 12:00:00,ETH/USDT,374.63,375.16,371.17,372.41,72610.504,27066857.27891,24176
1602414000000,2020-10-11 11:00:00,ETH/USDT,377.10,377.93,373.30,374.62,81302.808,30543521.12376,26609
1602410400000,2020-10-11 10:00:00,ETH/USDT,373.03,378.10,372.21,377.10,90851.671,34072063.44854,29233
1602406800000,2020-10-11 09:00:00,ETH/USDT,372.36,373.20,371.65,373.03,29660.700,11043587.02482,17597
1602403200000,2020-10-11 08:00:00,ETH/USDT,372.28,373.63,371.80,372.35,24401.020,9092546.33592,15366
1602399600000,2020-10-11 07:00:00,ETH/USDT,372.84,374.00,372.15,372.28,28698.751,10709172.92371,17767
1602396000000,2020-10-11 06:00:00,ETH/USDT,372.01,372.96,371.51,372.83,25586.574,9529246.40771,16458
1602392400000,2020-10-11 05:00:00,ETH/USDT,371.36,372.88,370.90,372.00,26130.158,9717641.75728,16273
1602388800000,2020-10-11 04:00:00,ETH/USDT,370.86,371.85,369.66,371.35,27855.391,10332024.67674,16535
1602385200000,2020-10-11 03:00:00,ETH/USDT,373.15,373.16,369.56,370.85,35100.640,13029706.59392,17350
1602381600000,2020-10-11 02:00:00,ETH/USDT,372.81,373.22,372.00,373.15,19579.049,7295958.13929,17962
1602378000000,2020-10-11 01:00:00,ETH/USDT,370.46,373.57,370.31,372.82,46058.695,17140161.22883,20681
1602374400000,2020-10-11 00:00:00,ETH/USDT,370.68,372.35,369.07,370.46,55125.338,20430299.83210,23813
1602370800000,2020-10-10 23:00:00,ETH/USDT,374.39,374.40,369.56,370.68,72319.998,26856189.62315,24796
1602367200000,2020-10-10 22:00:00,ETH/USDT,375.39,375.70,373.93,374.39,19560.568,7330879.51918,15066
1602363600000,2020-10-10 21:00:00,ETH/USDT,374.70,375.80,370.51,375.38,56683.740,21161059.52973,25486
1602360000000,2020-10-10 20:00:00,ETH/USDT,373.97,375.18,373.51,374.69,19955.817,7466028.30372,15287
1602356400000,2020-10-10 19:00:00,ETH/USDT,374.40,376.00,373.57,373.96,31002.232,11616444.74774,16600
1602352800000,2020-10-10 18:00:00,ETH/USDT,373.33,375.50,372.77,374.39,27167.430,10170826.30434,17433
1602349200000,2020-10-10 17:00:00,ETH/USDT,373.23,375.00,372.51,373.33,35046.850,13101750.23005,17906
1602345600000,2020-10-10 16:00:00,ETH/USDT,372.88,374.17,372.05,373.27,38465.953,14355928.27682,22423
1602342000000,2020-10-10 15:00:00,ETH/USDT,373.95,376.00,372.00,372.89,65391.972,24472618.59492,23548
1602338400000,2020-10-10 14:00:00,ETH/USDT,374.57,374.79,372.75,373.89,35372.323,13220185.37786,21319
1602334800000,2020-10-10 13:00:00,ETH/USDT,374.08,376.00,372.63,374.56,62810.205,23525043.63039,27348
1602331200000,2020-10-10 12:00:00,ETH/USDT,372.39,374.14,371.13,374.08,42577.380,15870232.77658,21796
1602327600000,2020-10-10 11:00:00,ETH/USDT,372.40,373.83,371.64,372.39,38893.697,14485080.41889,21624
1602324000000,2020-10-10 10:00:00,ETH/USDT,372.33,372.69,368.60,372.40,106198.082,39355430.10767,30956
1602320400000,2020-10-10 09:00:00,ETH/USDT,375.74,376.18,370.63,372.33,129967.703,48451849.99178,34676
1602316800000,2020-10-10 08:00:00,ETH/USDT,375.06,376.42,375.00,375.74,35960.391,13511201.40431,16636
1602313200000,2020-10-10 07:00:00,ETH/USDT,374.81,375.96,374.43,375.06,30996.931,11629826.49302,17338
1602309600000,2020-10-10 06:00:00,ETH/USDT,374.22,375.46,373.91,374.81,47460.196,17786045.96688,20967
1602306000000,2020-10-10 05:00:00,ETH/USDT,375.95,376.46,374.07,374.22,47444.640,17805402.28060,20857
1602302400000,2020-10-10 04:00:00,ETH/USDT,376.57,377.27,375.26,375.96,44666.982,16803576.97189,20134
1602298800000,2020-10-10 03:00:00,ETH/USDT,376.15,378.70,375.59,376.59,105724.912,39903074.63364,37059
1602295200000,2020-10-10 02:00:00,ETH/USDT,368.42,377.33,367.97,376.15,270014.488,100980055.84492,62284
1602291600000,2020-10-10 01:00:00,ETH/USDT,367.08,368.50,365.80,368.42,51337.092,18868738.03262,20024
1602288000000,2020-10-10 00:00:00,ETH/USDT,365.03,367.89,364.71,367.09,52936.529,19397029.79495,22715
1602284400000,2020-10-09 23:00:00,ETH/USDT,365.21,368.30,364.71,365.04,83037.627,30451670.36833,27133
1602280800000,2020-10-09 22:00:00,ETH/USDT,364.40,365.27,363.67,365.23,25737.943,9382996.97602,18025
